geslacht,gebjaar,aantalhh,burgstat,nettoink,oplcat
1,1952,2,1,1400,1
2,1966,4,1,1200,4
1,1982,3,5,0,6
2,1982,2,5,1750,6
2,1971,2,5,2700,6
2,1999,5,5,0,1
1,2003,3,5,0,1
1,1960,3,1,1943,2
1,1960,2,1,1188,2
2,1959,3,1,675,3
1,1938,2,1,857,2
2,1983,3,1,0,4
1,1971,4,1,1250,4
1,1956,4,1,1800,2
2,1955,2,1,750,2
2,2005,4,5,0,NA
2,1955,2,1,1944,5
2,1955,2,3,600,3
2,1987,3,5,-13,3
2,1946,2,1,0,2
2,1938,1,4,2343,5
2,1989,3,5,250,3
2,1974,5,1,1100,5
2,2006,3,5,0,NA
2,2007,4,5,0,NA
2,1971,1,5,4750,6
2,1999,5,5,0,1
1,1953,3,1,-13,1
2,1970,1,5,1570,6
2,1994,4,5,20,1
2,1979,2,5,1700,5
1,1983,5,5,1200,4
2,1997,5,5,0,1
1,1940,1,5,750,2
2,1999,5,5,0,1
2,1964,3,5,1466,3
1,1965,1,3,1800,2
1,1997,4,5,0,1
1,1997,2,5,0,1
