dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,40,8,2,8,8,7,6,8,7,4,5
shp,56,8,2,10,10,10,10,10,10,5,0
shp,53,8,2,8,10,8,8,8,8,-0,2
shp,19,9,0,6,5,3,10,8,8,2,0
shp,19,7,5,7,7,5,8,6,9,1,4
shp,15,5,1,5,4,5,5,2,5,1,0
shp,59,8,9,7,9,5,5,6,5,2,1
shp,55,6,5,9,10,4,8,8,8,2,1
shp,64,6,5,5,5,4,8,5,7,3,6
shp,62,9,9,6,9,6,8,5,8,3,4
shp,39,8,7,5,7,6,8,8,7,4,7
shp,39,5,5,5,8,7,7,5,6,4,3
shp,31,5,6,4,6,4,5,10,7,3,6
shp,91,5,6,10,5,10,9,10,5,2,0
shp,67,10,10,10,10,10,10,10,10,4,0
shp,44,9,4,7,8,2,9,9,7,2,5
shp,66,10,10,5,5,6,10,6,5,2,5
shp,81,5,5,10,7,5,5,5,5,5,10
shp,65,6,0,7,8,6,8,5,6,2,5
shp,33,5,5,3,9,1,6,8,4,6,10
shp,52,6,9,8,7,6,5,7,7,4,7
shp,50,7,2,4,7,3,4,5,5,6,5
shp,19,8,7,6,8,5,7,7,7,3,5
shp,65,4,7,7,8,5,8,7,5,3,8
shp,64,6,5,6,8,4,4,5,7,3,4
shp,29,9,7,6,10,8,8,7,9,3,3
shp,27,6,1,6,10,1,7,8,8,1,7
shp,27,6,8,7,9,4,7,4,8,3,5
shp,26,10,10,10,9,10,10,8,6,6,3
shp,51,6,7,8,8,6,7,6,6,3,2
shp,55,5,1,9,9,3,2,9,7,2,2
shp,52,7,8,8,7,5,7,8,8,5,1
shp,25,8,6,4,5,8,8,5,7,4,2
shp,22,7,7,5,6,7,7,5,7,4,4
shp,19,7,5,1,7,5,6,6,6,5,3
shp,41,7,6,2,8,10,8,6,8,2,2
shp,36,8,7,9,9,9,8,9,9,2,1
shp,53,8,2,10,6,10,8,6,4,3,2
shp,55,5,3,7,10,8,8,5,8,1,2
shp,66,7,4,10,8,6,9,10,8,2,0
shp,61,8,8,10,9,8,8,10,5,2,2
